Language,Total Records,File Name,Run Number,Instructions Executed,Heap Memory (B),Extra Heap Memory (B),Stack Memory (B)
c,100000,100000_rows.csv,2,1341785,104799,11841,2032
c,100000,100000_rows.csv,2,1368237,154145,11935,2032
c,100000,100000_rows.csv,2,1383129,182929,11991,2032
c,100000,100000_rows.csv,2,1385796,182646,11794,4584
c,100000,100000_rows.csv,2,1388439,182646,11794,904
c,100000,100000_rows.csv,2,1391070,178148,11396,672
c,100000,100000_rows.csv,3,0,0,0,0
c,100000,100000_rows.csv,3,2621,0,0,448
c,100000,100000_rows.csv,3,41470,0,0,448
c,100000,100000_rows.csv,3,70245,0,0,3920
c,100000,100000_rows.csv,3,86548,0,0,1376
c,100000,100000_rows.csv,3,115756,0,0,1408
c,100000,100000_rows.csv,3,133445,0,0,1608
c,100000,100000_rows.csv,3,157000,0,0,1384
c,100000,100000_rows.csv,3,187631,0,0,1960
c,100000,100000_rows.csv,3,224274,0,0,1384
c,100000,100000_rows.csv,3,249397,0,0,1704
c,100000,100000_rows.csv,3,280711,0,0,1384
c,100000,100000_rows.csv,3,318564,0,0,1864
c,100000,100000_rows.csv,3,359136,0,0,1864
c,100000,100000_rows.csv,3,392688,0,0,1864
c,100000,100000_rows.csv,3,413566,0,0,1608
c,100000,100000_rows.csv,3,445814,0,0,1864
c,100000,100000_rows.csv,3,472712,0,0,1720
c,100000,100000_rows.csv,3,491785,2356,68,1624
c,100000,100000_rows.csv,3,516490,3992,320,1656
c,100000,100000_rows.csv,3,555807,12864,512,1232
c,100000,100000_rows.csv,3,589845,24112,2160,1424
c,100000,100000_rows.csv,3,627678,31372,4380,1408
c,100000,100000_rows.csv,3,643865,34508,5284,1424
c,100000,100000_rows.csv,3,669124,37805,6691,1288
c,100000,100000_rows.csv,3,693799,40232,8096,1424
c,100000,100000_rows.csv,3,712862,58308,8772,1296
c,100000,100000_rows.csv,3,744010,60686,9018,1000
c,100000,100000_rows.csv,3,784928,65888,10144,992
c,100000,100000_rows.csv,3,812602,64614,10242,1304
c,100000,100000_rows.csv,3,853112,64614,10242,1064
c,100000,100000_rows.csv,3,874536,64614,10242,1064
c,100000,100000_rows.csv,3,906394,64614,10242,848
c,100000,100000_rows.csv,3,927811,64614,10242,840
c,100000,100000_rows.csv,3,949235,64614,10242,840
c,100000,100000_rows.csv,3,986468,64626,10254,1000
c,100000,100000_rows.csv,3,1026998,67848,10312,768
c,100000,100000_rows.csv,3,1065658,73300,10884,7024
c,100000,100000_rows.csv,3,1096695,74857,11127,7920
c,100000,100000_rows.csv,3,1121263,73468,10996,1920
c,100000,100000_rows.csv,3,1145060,73407,11169,1576
c,100000,100000_rows.csv,3,1171437,73806,11394,1792
c,100000,100000_rows.csv,3,1209822,69995,10181,1632
c,100000,100000_rows.csv,3,1239953,69995,10181,1552
c,100000,100000_rows.csv,3,1269016,90572,11660,104888
c,100000,100000_rows.csv,3,1293469,92427,11693,104864
c,100000,100000_rows.csv,3,1322334,100680,11816,1944
c,100000,100000_rows.csv,3,1341785,104799,11841,2032
c,100000,100000_rows.csv,3,1368237,154145,11935,2032
c,100000,100000_rows.csv,3,1383129,182929,11991,2032
c,100000,100000_rows.csv,3,1385796,182646,11794,4584
c,100000,100000_rows.csv,3,1388439,182646,11794,904
c,100000,100000_rows.csv,3,1391070,178148,11396,672
c,100000,100000_rows.csv,4,0,0,0,0
c,100000,100000_rows.csv,4,2621,0,0,448
c,100000,100000_rows.csv,4,41470,0,0,448
c,100000,100000_rows.csv,4,70245,0,0,3920
c,100000,100000_rows.csv,4,86548,0,0,1376
c,100000,100000_rows.csv,4,115756,0,0,1408
c,100000,100000_rows.csv,4,133445,0,0,1608
c,100000,100000_rows.csv,4,157000,0,0,1384
c,100000,100000_rows.csv,4,187631,0,0,1960
c,100000,100000_rows.csv,4,224274,0,0,1384
c,100000,100000_rows.csv,4,249397,0,0,1704
c,100000,100000_rows.csv,4,280711,0,0,1384
c,100000,100000_rows.csv,4,318564,0,0,1864
c,100000,100000_rows.csv,4,359136,0,0,1864
c,100000,100000_rows.csv,4,392688,0,0,1864
c,100000,100000_rows.csv,4,413566,0,0,1608
c,100000,100000_rows.csv,4,445814,0,0,1864
c,100000,100000_rows.csv,4,472712,0,0,1720
c,100000,100000_rows.csv,4,491785,2356,68,1624
c,100000,100000_rows.csv,4,516490,3992,320,1656
c,100000,100000_rows.csv,4,555807,12864,512,1232
c,100000,100000_rows.csv,4,589845,24112,2160,1424
c,100000,100000_rows.csv,4,627678,31372,4380,1408
c,100000,100000_rows.csv,4,643865,34508,5284,1424
c,100000,100000_rows.csv,4,669124,37805,6691,1288
c,100000,100000_rows.csv,4,693799,40232,8096,1424
c,100000,100000_rows.csv,4,712862,58308,8772,1296
c,100000,100000_rows.csv,4,744010,60686,9018,1000
c,100000,100000_rows.csv,4,784928,65888,10144,992
c,100000,100000_rows.csv,4,812602,64614,10242,1304
c,100000,100000_rows.csv,4,853112,64614,10242,1064
c,100000,100000_rows.csv,4,874536,64614,10242,1064
c,100000,100000_rows.csv,4,906394,64614,10242,848
c,100000,100000_rows.csv,4,927811,64614,10242,840
c,100000,100000_rows.csv,4,949235,64614,10242,840
c,100000,100000_rows.csv,4,986468,64626,10254,1000
c,100000,100000_rows.csv,4,1026998,67848,10312,768
c,100000,100000_rows.csv,4,1065658,73300,10884,7024
c,100000,100000_rows.csv,4,1096695,74857,11127,7920
c,100000,100000_rows.csv,4,1121263,73468,10996,1920
c,100000,100000_rows.csv,4,1145060,73407,11169,1576
c,100000,100000_rows.csv,4,1171437,73806,11394,1792
c,100000,100000_rows.csv,4,1209822,69995,10181,1632
c,100000,100000_rows.csv,4,1239953,69995,10181,1552
c,100000,100000_rows.csv,4,1269016,90572,11660,104888
c,100000,100000_rows.csv,4,1293469,92427,11693,104864
c,100000,100000_rows.csv,4,1322334,100680,11816,1944
c,100000,100000_rows.csv,4,1341785,104799,11841,2032
c,100000,100000_rows.csv,4,1368237,154145,11935,2032
c,100000,100000_rows.csv,4,1383129,182929,11991,2032
c,100000,100000_rows.csv,4,1385796,182646,11794,4584
c,100000,100000_rows.csv,4,1388439,182646,11794,904
c,100000,100000_rows.csv,4,1391070,178148,11396,672
c,100000,100000_rows.csv,5,0,0,0,0
c,100000,100000_rows.csv,5,2621,0,0,448
c,100000,100000_rows.csv,5,41470,0,0,448
c,100000,100000_rows.csv,5,70245,0,0,3920
c,100000,100000_rows.csv,5,86548,0,0,1376
c,100000,100000_rows.csv,5,115756,0,0,1408
c,100000,100000_rows.csv,5,133445,0,0,1608
c,100000,100000_rows.csv,5,157000,0,0,1384
c,100000,100000_rows.csv,5,187631,0,0,1960
c,100000,100000_rows.csv,5,224274,0,0,1384
c,100000,100000_rows.csv,5,249397,0,0,1704
c,100000,100000_rows.csv,5,280711,0,0,1384
c,100000,100000_rows.csv,5,318564,0,0,1864
c,100000,100000_rows.csv,5,359136,0,0,1864
c,100000,100000_rows.csv,5,392688,0,0,1864
