Language,Total Records,File Name,Run Number,Instructions Executed,Heap Memory (B),Extra Heap Memory (B),Stack Memory (B)
c,100000,100000_rows.csv,2,984282,66850,8518,2080
c,100000,100000_rows.csv,2,1007006,67035,8533,1536
c,100000,100000_rows.csv,2,1043390,64360,7864,1456
c,100000,100000_rows.csv,2,1055778,67129,8567,1984
c,100000,100000_rows.csv,2,1068173,66906,8366,1264
c,100000,100000_rows.csv,3,0,0,0,0
c,100000,100000_rows.csv,3,19217,0,0,336
c,100000,100000_rows.csv,3,47846,0,0,1104
c,100000,100000_rows.csv,3,69360,0,0,2000
c,100000,100000_rows.csv,3,82221,0,0,1936
c,100000,100000_rows.csv,3,106486,0,0,1680
c,100000,100000_rows.csv,3,120890,0,0,1680
c,100000,100000_rows.csv,3,150618,0,0,1936
c,100000,100000_rows.csv,3,169315,0,0,1680
c,100000,100000_rows.csv,3,197166,0,0,2000
c,100000,100000_rows.csv,3,215842,0,0,2000
c,100000,100000_rows.csv,3,228229,0,0,1680
c,100000,100000_rows.csv,3,249324,0,0,1680
c,100000,100000_rows.csv,3,272617,0,0,2000
c,100000,100000_rows.csv,3,293371,0,0,2000
c,100000,100000_rows.csv,3,313135,0,0,2000
c,100000,100000_rows.csv,3,340817,0,0,2000
c,100000,100000_rows.csv,3,363025,0,0,2000
c,100000,100000_rows.csv,3,378719,0,0,1680
c,100000,100000_rows.csv,3,394243,0,0,2000
c,100000,100000_rows.csv,3,419239,0,0,144
c,100000,100000_rows.csv,3,446899,3908,284,1328
c,100000,100000_rows.csv,3,466674,5712,408,1472
c,100000,100000_rows.csv,3,480082,21012,524,1488
c,100000,100000_rows.csv,3,500400,23538,1902,1424
c,100000,100000_rows.csv,3,513084,24993,2767,1456
c,100000,100000_rows.csv,3,542243,32418,4446,1472
c,100000,100000_rows.csv,3,565490,35006,5826,1344
c,100000,100000_rows.csv,3,584515,54882,6654,1120
c,100000,100000_rows.csv,3,613412,54882,6654,992
c,100000,100000_rows.csv,3,636974,57668,7412,1424
c,100000,100000_rows.csv,3,655345,57680,7424,1440
c,100000,100000_rows.csv,3,677157,57668,7412,1040
c,100000,100000_rows.csv,3,691901,57668,7412,1040
c,100000,100000_rows.csv,3,709296,57668,7412,1200
c,100000,100000_rows.csv,3,724106,57668,7412,992
c,100000,100000_rows.csv,3,739073,57668,7412,1328
c,100000,100000_rows.csv,3,768710,57668,7412,992
c,100000,100000_rows.csv,3,783563,57680,7424,960
c,100000,100000_rows.csv,3,798558,57680,7424,1296
c,100000,100000_rows.csv,3,828195,57680,7424,960
c,100000,100000_rows.csv,3,848124,63500,7604,5088
c,100000,100000_rows.csv,3,865098,65598,7770,14320
c,100000,100000_rows.csv,3,879985,65381,7939,5472
c,100000,100000_rows.csv,3,902264,67739,8197,12144
c,100000,100000_rows.csv,3,925683,68406,8314,12112
c,100000,100000_rows.csv,3,933334,68490,8374,8000
c,100000,100000_rows.csv,3,955555,66697,8271,3168
c,100000,100000_rows.csv,3,985229,66927,8545,1616
c,100000,100000_rows.csv,3,1009333,67035,8533,1536
c,100000,100000_rows.csv,3,1043482,64360,7864,1456
c,100000,100000_rows.csv,3,1051171,67984,8528,1520
c,100000,100000_rows.csv,3,1058822,67324,8724,1664
c,100000,100000_rows.csv,3,1066476,67050,8510,1072
c,100000,100000_rows.csv,4,0,0,0,0
c,100000,100000_rows.csv,4,19217,0,0,336
c,100000,100000_rows.csv,4,47846,0,0,1104
c,100000,100000_rows.csv,4,69360,0,0,2000
c,100000,100000_rows.csv,4,82221,0,0,1936
c,100000,100000_rows.csv,4,106486,0,0,1680
c,100000,100000_rows.csv,4,120890,0,0,1680
c,100000,100000_rows.csv,4,150618,0,0,1936
c,100000,100000_rows.csv,4,169315,0,0,1680
c,100000,100000_rows.csv,4,197166,0,0,2000
c,100000,100000_rows.csv,4,215842,0,0,2000
c,100000,100000_rows.csv,4,228229,0,0,1680
c,100000,100000_rows.csv,4,249324,0,0,1680
c,100000,100000_rows.csv,4,272617,0,0,2000
c,100000,100000_rows.csv,4,293371,0,0,2000
c,100000,100000_rows.csv,4,313135,0,0,2000
c,100000,100000_rows.csv,4,340817,0,0,2000
c,100000,100000_rows.csv,4,363025,0,0,2000
c,100000,100000_rows.csv,4,378719,0,0,1680
c,100000,100000_rows.csv,4,394243,0,0,2000
c,100000,100000_rows.csv,4,419239,0,0,144
c,100000,100000_rows.csv,4,446899,3908,284,1328
c,100000,100000_rows.csv,4,466674,5712,408,1472
c,100000,100000_rows.csv,4,480082,21012,524,1488
c,100000,100000_rows.csv,4,500400,23538,1902,1424
c,100000,100000_rows.csv,4,513084,24993,2767,1456
c,100000,100000_rows.csv,4,542243,32418,4446,1472
c,100000,100000_rows.csv,4,565490,35006,5826,1344
c,100000,100000_rows.csv,4,584515,54882,6654,1120
c,100000,100000_rows.csv,4,613412,54882,6654,992
c,100000,100000_rows.csv,4,636974,57668,7412,1424
c,100000,100000_rows.csv,4,655345,57680,7424,1440
c,100000,100000_rows.csv,4,677157,57668,7412,1040
c,100000,100000_rows.csv,4,691901,57668,7412,1040
