Language,Total Records,File Name,Run Number,Point,Cycles
c,10000,10000_rows.csv,6,Start Read People CSV File,7343594015569
c,10000,10000_rows.csv,6,Start Validate Person Rows,7343614346870
c,10000,10000_rows.csv,6,Start Quick Sort Person Rows,7343633647105
c,10000,10000_rows.csv,6,Start Print Person Rows,7343652983628
c,10000,10000_rows.csv,6,Start Free Used Memory,7343677524829
c,10000,10000_rows.csv,6,End Program,7343696707111
c,10000,10000_rows.csv,7,Start Read People CSV File,7348155329582
c,10000,10000_rows.csv,7,Start Validate Person Rows,7348175650640
c,10000,10000_rows.csv,7,Start Quick Sort Person Rows,7348195275651
c,10000,10000_rows.csv,7,Start Print Person Rows,7348214554154
c,10000,10000_rows.csv,7,Start Free Used Memory,7348238906973
c,10000,10000_rows.csv,7,End Program,7348258054119
c,10000,10000_rows.csv,8,Start Read People CSV File,7352707336562
c,10000,10000_rows.csv,8,Start Validate Person Rows,7352727716273
c,10000,10000_rows.csv,8,Start Quick Sort Person Rows,7352746976534
c,10000,10000_rows.csv,8,Start Print Person Rows,7352766405494
c,10000,10000_rows.csv,8,Start Free Used Memory,7352790733598
c,10000,10000_rows.csv,8,End Program,7352809752522
c,10000,10000_rows.csv,9,Start Read People CSV File,7357297420408
c,10000,10000_rows.csv,9,Start Validate Person Rows,7357317675800
c,10000,10000_rows.csv,9,Start Quick Sort Person Rows,7357336956822
c,10000,10000_rows.csv,9,Start Print Person Rows,7357356247019
c,10000,10000_rows.csv,9,Start Free Used Memory,7357380634889
c,10000,10000_rows.csv,9,End Program,7357403084771
c,10000,10000_rows.csv,10,Start Read People CSV File,7361839843879
c,10000,10000_rows.csv,10,Start Validate Person Rows,7361860247890
c,10000,10000_rows.csv,10,Start Quick Sort Person Rows,7361879526618
c,10000,10000_rows.csv,10,Start Print Person Rows,7361898821700
c,10000,10000_rows.csv,10,Start Free Used Memory,7361923139362
c,10000,10000_rows.csv,10,End Program,7361950926009
c,1000,1000_rows.csv,1,Start Read People CSV File,7366355516475
c,1000,1000_rows.csv,1,Start Validate Person Rows,7366360276523
c,1000,1000_rows.csv,1,Start Quick Sort Person Rows,7366364673769
c,1000,1000_rows.csv,1,Start Print Person Rows,7366368254576
c,1000,1000_rows.csv,1,Start Free Used Memory,7366373815148
c,1000,1000_rows.csv,1,End Program,7366378198192
c,1000,1000_rows.csv,2,Start Read People CSV File,7370754037139
c,1000,1000_rows.csv,2,Start Validate Person Rows,7370758820935
c,1000,1000_rows.csv,2,Start Quick Sort Person Rows,7370763287891
c,1000,1000_rows.csv,2,Start Print Person Rows,7370766831708
