Language,Total Records,File Name,Run Number,Point,Cycles
c,10000,10000_rows.csv,7,Start File Read,658987536173
c,10000,10000_rows.csv,7,Start Map to Person Record,659007492503
c,10000,10000_rows.csv,7,Start QuickSort Person Array,659026287494
c,10000,10000_rows.csv,7,Start Print Results,659045188544
c,10000,10000_rows.csv,7,Start Free Memory,659069138639
c,10000,10000_rows.csv,7,End Program,659087068935
c,10000,10000_rows.csv,8,Start File Read,663490307084
c,10000,10000_rows.csv,8,Start Map to Person Record,663510398502
c,10000,10000_rows.csv,8,Start QuickSort Person Array,663529103471
c,10000,10000_rows.csv,8,Start Print Results,663548218083
c,10000,10000_rows.csv,8,Start Free Memory,663572148634
c,10000,10000_rows.csv,8,End Program,663590451138
c,10000,10000_rows.csv,9,Start File Read,668014205653
c,10000,10000_rows.csv,9,Start Map to Person Record,668034170873
c,10000,10000_rows.csv,9,Start QuickSort Person Array,668052763767
c,10000,10000_rows.csv,9,Start Print Results,668071676957
c,10000,10000_rows.csv,9,Start Free Memory,668095478300
c,10000,10000_rows.csv,9,End Program,668113299295
c,10000,10000_rows.csv,10,Start File Read,672591052224
c,10000,10000_rows.csv,10,Start Map to Person Record,672610897437
c,10000,10000_rows.csv,10,Start QuickSort Person Array,672629800018
c,10000,10000_rows.csv,10,Start Print Results,672648772447
c,10000,10000_rows.csv,10,Start Free Memory,672672872247
c,10000,10000_rows.csv,10,End Program,672690831592
c,1000,1000_rows.csv,1,Start File Read,677127514096
c,1000,1000_rows.csv,1,Start Map to Person Record,677132297761
c,1000,1000_rows.csv,1,Start QuickSort Person Array,677136478065
c,1000,1000_rows.csv,1,Start Print Results,677139829921
c,1000,1000_rows.csv,1,Start Free Memory,677145309032
c,1000,1000_rows.csv,1,End Program,677149309009
c,1000,1000_rows.csv,2,Start File Read,681729650214
c,1000,1000_rows.csv,2,Start Map to Person Record,681734292183
c,1000,1000_rows.csv,2,Start QuickSort Person Array,681739040718
c,1000,1000_rows.csv,2,Start Print Results,681742513318
c,1000,1000_rows.csv,2,Start Free Memory,681748073007
c,1000,1000_rows.csv,2,End Program,681752328867
c,1000,1000_rows.csv,3,Start File Read,686106374527
c,1000,1000_rows.csv,3,Start Map to Person Record,686110996856
